
38361284,0.053,0.850,-0.318,0.027,0.008,-0.011;
38385799,0.049,0.861,-0.314,0.059,-0.011,-0.016;
38409874,0.060,0.854,-0.314,0.056,0.004,-0.023;
38434439,0.056,0.865,-0.314,0.051,0.015,-0.012;
38458627,0.053,0.869,-0.318,0.061,0.002,-0.008;
38482711,0.056,0.865,-0.314,0.066,0.011,-0.008;
38506770,0.056,0.854,-0.311,0.050,0.021,-0.013;
38531849,0.049,0.857,-0.314,0.057,0.022,-0.008;
38552024,0.049,0.854,-0.311,0.047,0.027,-0.010;
38576182,0.060,0.854,-0.314,0.042,0.025,-0.007;
38597185,0.053,0.854,-0.314,0.064,0.015,-0.007;
38621419,0.056,0.857,-0.307,0.092,0.025,-0.007;
38645974,0.049,0.857,-0.307,0.076,0.035,-0.004;
38665977,0.049,0.857,-0.311,0.058,0.033,-0.007;
38690661,0.053,0.854,-0.314,0.078,0.028,-0.008;
38710694,0.056,0.865,-0.307,0.107,0.021,0.004;
38735207,0.049,0.846,-0.314,0.108,0.005,0.004;
38759614,0.053,0.857,-0.314,0.090,0.049,0.000;
38783770,0.053,0.865,-0.307,0.113,0.032,0.006;
38807837,0.045,0.854,-0.318,0.097,0.018,0.006;
38832094,0.045,0.857,-0.311,0.120,0.024,0.001;
38853416,0.056,0.850,-0.314,0.108,0.039,0.006;
38877583,0.053,0.850,-0.311,0.117,0.025,0.007;
38901647,0.064,0.850,-0.307,0.115,0.006,0.010;
38925917,0.053,0.861,-0.314,0.096,0.013,0.005;
38950220,0.056,0.861,-0.318,0.091,0.008,0.008;
38974417,0.064,0.861,-0.318,0.095,0.015,0.007;
38998463,0.060,0.850,-0.321,0.062,0.017,0.012;
39022571,0.060,0.854,-0.325,0.028,0.019,0.001;
39046827,0.053,0.854,-0.332,0.057,0.002,0.008;
39071246,0.060,0.854,-0.325,0.029,0.005,0.008;
39095409,0.064,0.861,-0.314,0.069,0.011,-0.001;
39116341,0.060,0.857,-0.328,0.058,0.033,0.008;
39140617,0.056,0.854,-0.325,0.041,0.028,0.015;
39164948,0.064,0.854,-0.339,0.029,0.005,0.015;
39189124,0.064,0.854,-0.325,0.052,0.008,0.006;
39213181,0.049,0.854,-0.328,0.055,0.045,0.005;
39237431,0.056,0.850,-0.332,0.032,0.053,0.000;
39261749,0.056,0.850,-0.328,0.019,0.027,0.008;
39285945,0.072,0.869,-0.314,0.081,0.005,0.012;
39310006,0.060,0.861,-0.311,0.092,0.045,0.006;
39334264,0.060,0.857,-0.335,0.005,0.079,0.001;
39355399,0.060,0.846,-0.339,-0.008,0.058,-0.001;
39379611,0.064,0.865,-0.321,0.052,-0.002,0.012;
39403673,0.060,0.861,-0.304,0.117,-0.005,0.006;
39427779,0.064,0.854,-0.311,0.047,0.064,-0.001;
39452022,0.064,0.846,-0.328,-0.025,0.074,-0.006;
39476340,0.060,0.857,-0.325,-0.004,0.028,0.002;
39500538,0.072,0.865,-0.304,0.059,-0.038,0.004;
39524658,0.056,0.865,-0.304,0.079,-0.002,0.005;
39548831,0.072,0.857,-0.311,0.028,0.044,0.002;
39573127,0.064,0.846,-0.328,-0.033,0.038,0.001;
39597291,0.060,0.850,-0.328,0.002,0.021,0.001;
39618187,0.068,0.869,-0.304,0.051,-0.028,0.012;
39642444,0.053,0.887,-0.293,0.134,-0.001,0.004;
39666825,0.068,0.857,-0.311,0.055,0.038,-0.001;
39690942,0.056,0.857,-0.314,-0.015,0.019,0.002;
39714985,0.068,0.865,-0.307,0.034,0.002,0.010;
39739247,0.072,0.865,-0.304,0.085,-0.019,0.012;
39763397,0.068,0.857,-0.307,0.089,-0.001,0.006;
39787644,0.068,0.869,-0.311,0.078,0.025,0.002;
39811813,0.068,0.857,-0.307,0.069,0.030,0.007;
39835932,0.064,0.861,-0.311,0.075,-0.001,0.001;
39856949,0.064,0.861,-0.307,0.050,-0.006,0.002;
39881344,0.064,0.865,-0.314,0.047,0.006,0.008;
39905504,0.064,0.850,-0.304,0.039,0.050,0.002;
39929633,0.060,0.865,-0.307,0.097,0.030,0.007;
39953840,0.072,0.857,-0.311,0.089,0.004,0.007;
39978195,0.060,0.861,-0.314,0.056,0.005,0.008;
40002349,0.053,0.872,-0.318,0.058,0.018,0.016;
40026480,0.064,0.861,-0.318,0.057,0.017,0.016;
40050753,0.068,0.850,-0.311,0.064,0.013,0.007;
40070858,0.068,0.857,-0.304,0.093,0.017,0.017;
40090951,0.072,0.861,-0.311,0.090,0.011,0.013;
40112107,0.072,0.857,-0.318,0.068,0.022,0.010;
40136318,0.075,0.861,-0.307,0.068,0.025,0.011;
40160560,0.072,0.857,-0.307,0.068,0.036,0.012;
40184944,0.068,0.854,-0.314,0.067,0.030,0.010;
40209109,0.072,0.861,-0.311,0.064,0.036,0.010;
40233271,0.079,0.850,-0.307,0.062,0.041,0.008;
40257477,0.072,0.861,-0.321,0.058,0.057,0.006;
40281738,0.072,0.869,-0.311,0.075,0.068,0.000;
40305915,0.072,0.854,-0.321,0.084,0.078,0.002;
40330038,0.075,0.865,-0.321,0.083,0.075,-0.004;
40351513,0.064,0.854,-0.318,0.121,0.064,-0.002;
40376201,0.075,0.857,-0.314,0.151,0.073,0.000;
40401065,0.072,0.861,-0.311,0.157,0.061,0.000;
40425446,0.072,0.857,-0.314,0.136,0.039,-0.007;
40449522,0.075,0.854,-0.314,0.081,0.042,-0.011;
40473750,0.068,0.861,-0.314,0.083,0.038,-0.013;
40498050,0.072,0.861,-0.300,0.119,0.044,-0.001;
40522182,0.075,0.850,-0.311,0.089,0.033,0.000;
40546305,0.072,0.857,-0.328,0.072,0.042,-0.008;
40570522,0.075,0.865,-0.318,0.127,0.024,-0.004;
40594829,0.075,0.850,-0.314,0.093,0.032,-0.010;
40615877,0.079,0.854,-0.314,0.081,0.027,-0.017;
40640061,0.079,0.861,-0.311,0.078,0.030,-0.021;
40664338,0.075,0.857,-0.332,0.084,0.013,-0.016;
40688674,0.072,0.861,-0.318,0.090,0.016,-0.010;
40712811,0.075,0.854,-0.321,0.093,0.050,-0.006;
40736981,0.072,0.854,-0.325,0.084,0.034,-0.015;
40761162,0.072,0.854,-0.311,0.085,-0.005,-0.012;
40785305,0.072,0.861,-0.328,0.073,0.010,-0.018;
40809578,0.072,0.857,-0.321,0.067,0.021,-0.016;
40833808,0.072,0.854,-0.307,0.066,0.018,-0.015;
40854741,0.072,0.850,-0.318,0.055,0.030,-0.012;
40879004,0.075,0.854,-0.325,0.047,0.016,-0.010;
40903362,0.075,0.854,-0.328,0.053,0.017,-0.017;
40927566,0.072,0.857,-0.321,0.074,0.017,-0.011;
40951626,0.068,0.850,-0.325,0.085,-0.001,-0.006;
40975829,0.072,0.857,-0.314,0.078,0.002,-0.011;
41000181,0.068,0.857,-0.325,0.050,0.022,-0.008;
41024403,0.068,0.854,-0.325,0.044,0.002,-0.008;
41048466,0.064,0.854,-0.318,0.068,0.013,-0.011;
41072734,0.075,0.857,-0.307,0.069,0.008,-0.006;
41097114,0.072,0.854,-0.318,0.040,0.008,-0.013;
41118101,0.064,0.857,-0.314,0.042,0.017,-0.012;
